mode,phase_diff_mean,phase_diff_std,speed_diff_mean,speed_diff_std,right_mean,right_std,left_mean,left_std
Anti-phase Congruent,-1.2425417661097864,83.47488147317112,0.012458570564804984,4.13287909540076,12497.370535000266,6311.926331758211,11705.422383630648,5554.893551347124
Anti-phase Mirrored,-0.6162271220636977,79.87288745983358,0.03615341968792148,4.602738655776311,12128.451308378342,6306.3558515109435,11537.531692872119,5678.783260680003
In-phase Congruent,7.07626130067075,52.7841850884906,-0.026791339315745823,4.959457719419065,19896.611053868404,11506.908352950524,17469.371490343678,12407.361305003295
In-phase Mirrored,-6.951675759937646,46.40982927320118,0.034321814877373895,5.014912757217691,15254.664359959004,12795.139153320555,13725.72192622483,10923.248590955112
